Date,Time,Load
10/22/2019,5:00:00,2069.35
10/22/2019,6:00:00,2139.50
10/22/2019,7:00:00,2074.17
10/22/2019,8:00:00,1957.95
10/22/2019,9:00:00,2036.52
10/22/2019,10:00:00,2032.88
10/22/2019,11:00:00,2081.98
10/22/2019,12:00:00,2075.35
10/22/2019,13:00:00,2059.41
10/22/2019,14:00:00,2070.06
10/22/2019,15:00:00,2144.75
10/22/2019,16:00:00,2135.81
10/22/2019,17:00:00,2127.72
10/22/2019,18:00:00,2203.31
10/22/2019,19:00:00,2449.34
10/22/2019,20:00:00,2510.00
10/22/2019,21:00:00,2527.72
10/22/2019,22:00:00,2483.59
10/22/2019,23:00:00,2378.48
10/22/2019,0:00:00,2269.73
10/21/2019,1:00:00,1931.50
10/21/2019,2:00:00,1898.53
10/21/2019,3:00:00,1829.94
10/21/2019,4:00:00,1800.95
10/21/2019,5:00:00,1853.26
10/21/2019,6:00:00,1962.16
10/21/2019,7:00:00,1942.62
10/21/2019,8:00:00,1853.83
10/21/2019,9:00:00,1950.19
10/21/2019,10:00:00,1991.49
10/21/2019,11:00:00,2036.57
10/21/2019,12:00:00,1994.28
10/21/2019,13:00:00,1942.24
10/21/2019,14:00:00,1962.30
10/21/2019,15:00:00,2024.88
10/21/2019,16:00:00,2082.73
10/21/2019,17:00:00,2095.27
10/21/2019,18:00:00,2264.38
10/21/2019,19:00:00,2550.43
10/21/2019,20:00:00,2541.00
10/21/2019,21:00:00,2529.99
10/21/2019,22:00:00,2461.54
10/21/2019,23:00:00,2377.72
10/21/2019,0:00:00,2243.52
